Time,NodeID,Genome,STATE_MALE,STATE_IMMATURE,STATE_LARVA,STATE_EGG,MaleNumDied,MaleAvgAgeAtDeath
0,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
0,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
0,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
0,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
0,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
0,1,Other,8897,0,0,288000,1103,3.01088
1,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
1,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
1,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
1,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
1,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
1,1,Other,7958,0,189821,271000,939,4.02343
2,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
2,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
2,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
2,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
2,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
2,1,Other,7108,0,254855,247800,850,5.00941
3,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
3,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
3,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
3,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
3,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
3,1,Other,6309,0,324025,179300,799,6.02503
4,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
4,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
4,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
4,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
4,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
4,1,Other,5613,0,386711,170900,696,7.03161
5,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
5,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
5,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
5,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
5,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
5,1,Other,4955,0,443199,160900,658,7.98328
6,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
6,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
6,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
6,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
6,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
6,1,Other,4345,0,495619,112300,610,9.05574
7,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
7,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
7,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
7,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
7,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
7,1,Other,3803,0,543239,106800,542,9.99262
8,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
8,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
8,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
8,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
8,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
8,1,Other,3284,0,586689,100200,519,10.9923
9,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
9,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
9,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
9,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
9,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
9,1,Other,2864,0,626333,63000,420,12.0048
10,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
10,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
10,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
10,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
10,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
10,1,Other,2465,0,629673,61900,399,12.995
11,1,X-a0-b0:Y-a1-b0,0,0,0,0,0,0
11,1,X-a0-b0:Y-a0-b1,0,0,0,0,0,0
11,1,X-a0-b0:Y-a1-b1,0,0,0,0,0,0
11,1,X-a1-b0:Y-a1-b1,0,0,0,0,0,0
11,1,X-a0-b1:Y-a1-b1,0,0,0,0,0,0
11,1,Other,2089,0,631971,61000,376,13.9814
